pfr_id,name,birth_date
AbduKa00,Karim Abdul-Jabbar,1974-06-28
AberWa00,Walter Abercrombie,1959-09-26
AdamCu00,Curtis Adams,1962-04-30
AdamGe00,George Adams,1962-12-22
AdamWi00,Willis Adams,1956-08-22
AgeeTo00,Tommie Agee,1964-02-22
AikmTr00,Troy Aikman,1966-11-21
AlexCh00,Charles Alexander,1957-07-28
AlexDe00,Derrick Alexander,1971-11-06
AlexKe00,Kevin Alexander,1975-01-23
AlexMi00,Mike Alexander,1965-03-19
AlexRa00,Ray Alexander,1962-01-08
AlexSt00,Stephen Alexander,1975-11-07
AlleAn00,Anthony Allen,1959-06-29
AlleJa00,James Allen,1975-03-28
AlleMa00,Marcus Allen,1960-03-26
AlleMa01,Marvin Allen,1965-11-23
AlleTe00,Terry Allen,1968-02-21
AlstMi00,Mike Alstott,1973-12-21
AndeAl00,Alfred Anderson,1961-08-04
AndeFl00,Flipper Anderson,1965-03-07
AndeGa00,Gary Anderson,1961-04-18
AndeJa00,Jamal Anderson,1972-09-30
AndeKe00,Ken Anderson,1949-02-15
AndeKi00,Kimble Anders,1966-09-10
AndeNe00,Neal Anderson,1964-08-14
AndeOt00,Ottis Anderson,1957-01-19
AndeRi00,Richie Anderson,1971-09-13
AndrWi00,William Andrews,1955-12-25
AnthRe00,Reidel Anthony,1976-10-20
AnthTy00,Tyrone Anthony,1962-03-03
ArbuCh00,Charles Arbuckle,1968-09-13
ArmoJu00,Justin Armour,1973-01-01
ArmsAd00,Adger Armstrong,1957-06-21
ArchDa00,David Archer,1962-02-15
ArmsOt00,Otis Armstrong,1950-11-15
AsheJa00,Jamie Asher,1972-10-31
AskaJo00,Joe Aska,1972-07-14
AtkiSt00,Steve Atkins,1956-06-22
AuguMi00,Mike Augustyniak,1956-07-17
AustCl00,Cliff Austin,1960-03-02
AutrDa00,Darnell Autry,1976-06-19
AverJo00,John Avery,1976-01-11
ArmsTy00,Tyji Armstrong,1970-10-03
BailAa00,Aaron Bailey,1971-10-24
BailHa00,Harold Bailey,1957-04-12
BailJo00,Johnny Bailey,1967-03-17
AwalRo00,Robert Awalt,1964-04-09
BailVi00,Victor Bailey,1970-07-03
BailSt00,Stacey Bailey,1960-02-10
BakeSt00,Stephen Baker,1964-08-30
BankCh00,Chuck Banks,1964-01-04
BallEr00,Eric Ball,1966-07-01
BankFr00,Fred Banks,1962-05-26
BankGo00,Gordon Banks,1958-03-12
ArnoWa00,Walt Arnold,1958-08-31
BarbMi01,Mike Barber,1953-06-04
BarbTi00,Tiki Barber,1975-04-07
BarbMi00,Michael Barber,1967-06-19
BarkRo00,Rod Barksdale,1962-09-08
BarlRe00,Reggie Barlow,1973-01-22
BarnFr00,Fred Barnett,1966-06-17
BarnMa01,Malcolm Barnwell,1958-06-28
BarnTi00,Tim Barnett,1968-04-19
BartSt00,Steve Bartkowski,1952-11-12
BascBr00,Brian Baschnagel,1954-01-08
BankTo00,Tony Banks,1973-04-05
BassDo00,Don Bass,1956-03-11
BateMa00,Mario Bates,1973-01-16
BarkJe00,Jerome Barkum,1950-07-18
BatyGr00,Greg Baty,1964-08-28
BatcCh00,Charlie Batch,1974-12-05
BavaMa00,Mark Bavaro,1963-04-28
BaxtBr00,Brad Baxter,1967-05-05
BaxtFr00,Fred Baxter,1971-06-14
BeacPa00,Pat Beach,1959-12-28
BechBr00,Brett Bech,1971-08-20
BeebDo00,Don Beebe,1964-12-18
BattMa00,Marco Battaglia,1973-01-25
BeacSa00,Sanjay Beach,1966-02-21
BellGr00,Greg Bell,1962-08-01
BellNi00,Nick Bell,1968-08-19
BellRi01,Ricky Bell,1955-04-08
BellTh00,Theo Bell,1953-12-21
BeltHo00,Horace Belton,1955-07-16
BendJe00,Jesse Bendross,1962-07-19
BennBr00,Brandon Bennett,1973-02-03
BennDo00,Donnell Bennett,1972-09-14
BennEd00,Edgar Bennett,1969-02-15
BennLe20,Lewis Bennett,1963-08-04
BellCo20,Coleman Bell,1970-04-22
BellJe00,Jerry Bell,1959-03-07
BennWo00,Woody Bennett,1955-03-24
BernKa00,Karl Bernard,1964-10-12
BentAl00,Albert Bentley,1960-08-15
BensCl00,Cliff Benson,1961-08-28
BettJe00,Jerome Bettis,1972-02-16
BernRo00,Rod Bernstine,1965-02-08
BeueSt00,Steve Beuerlein,1965-03-07
BeveDw20,Dwight Beverly,1961-12-05
BienEr00,Eric Bieniemy,1969-08-15
BishHa00,Harold Bishop,1970-04-08
BjorEr00,Eric Bjornson,1971-12-15
BlacTo00,Todd Blackledge,1961-02-25
BlacWi00,Will Blackwell,1975-07-09
BladBr00,Brian Blades,1965-07-24
BlakJe00,Jeff Blake,1970-12-04
BlanCa00,Carl Bland,1961-08-17
BiakTi00,Tim Biakabutuka,1974-01-24
BledDr00,Drew Bledsoe,1972-02-14
BonoSt00,Steve Bono,1962-05-11
BirdJJ00,J.J. Birden,1965-06-16
BosoCa00,Cap Boso,1963-09-10
BleiRo00,Rocky Bleier,1946-03-05
BouzMa00,Matt Bouza,1959-04-08
BownFa00,Fabien Bownes,1972-02-29
BoydTo00,Tommie Boyd,1971-12-21
BoyeMa00,Mark Boyer,1962-09-16
BradMo00,Morris Bradshaw,1952-10-19
BradKy00,Kyle Brady,1972-01-14
BramMa00,Mark Brammer,1958-05-03
BranCl00,Cliff Branch,1948-08-01
BratMe00,Mel Bratton,1965-02-02
BrenBr00,Brian Brennan,1962-02-15
BowiLa00,Larry Bowie,1973-03-21
BrenHo00,Hoby Brenner,1959-06-02
BrimJa20,James Brim,1963-02-28
BrigLe00,Leon Bright,1955-05-19
BrisBu00,Bubby Brister,1962-08-15
BrisVi00,Vincent Brisby,1971-01-25
BrocDi00,Dieter Brock,1951-02-12
BrooBi00,Bill Brooks,1964-04-06
BrooJa00,James Brooks,1958-12-28
BrooMi00,Mitchell Brookins,1960-12-10
BradTe00,Terry Bradshaw,1948-09-02
BrooRo00,Robert Brooks,1970-06-23
BrooRe00,Reggie Brooks,1971-01-19
BrowAn00,Andre Brown,1966-08-21
BrouSt00,Steve Broussard,1967-02-22
BrowDa00,Dave Brown,1970-02-25
BrowCu00,Curtis Brown,1954-12-07
BrowDe01,Derek Brown,1971-04-15
BrowDe00,Derek Brown,1970-03-31
BrowEd00,Eddie Brown,1962-12-17
BrowIv00,Ivory Lee Brown,1969-08-17
BrowRo01,Ron Brown,1961-03-31
BrowCh00,Charlie Brown,1958-10-29
BrowGa00,Gary Brown,1969-07-01
BrowTi00,Tim Brown,1966-07-22
BrowTr00,Troy Brown,1971-07-02
BrowTh00,Theotis Brown,1957-04-20
BrowTe00,Ted Brown,1957-02-15
BrowTy00,Tyrone Brown,1973-01-03
BrucIs00,Isaac Bruce,1972-11-10
