name,position,college,draft_year,ras,metrics_used,forty,vertical,broad_jump,shuttle,cone,bench,ht_inches,wt_lbs,pfr_id,source
Shaun Alexander,RB,Alabama,2000,5.87,3,4.58,,,,,,72.0,218.0,AlexSh00,nflverse-combine-derived
Kyle Allamon,TE,Texas Tech,2000,3.29,7,4.97,29.0,104.0,4.49,7.29,,74.0,253.0,,nflverse-combine-derived
Anthony Becht,TE,West Virginia,2000,6.44,7,4.78,33.5,123.0,4.08,6.94,,78.0,270.0,BechAn00,nflverse-combine-derived
Tom Brady,QB,Michigan,2000,3.34,7,5.28,24.5,99.0,4.38,7.2,,76.0,211.0,BradTo00,nflverse-combine-derived
Keith Brown,RB,UCLA,2000,5.71,7,4.66,30.0,117.0,4.08,6.64,,71.0,216.0,,nflverse-combine-derived
Demario Brown,RB,Utah State,2000,4.65,7,4.72,31.0,107.0,4.39,7.17,,72.0,217.0,,nflverse-combine-derived
Travis Brown,QB,Northern Arizona,2000,2.99,7,5.01,29.0,101.0,4.87,7.54,,75.0,218.0,BrowTr01,nflverse-combine-derived
Marc Bulger,QB,West Virginia,2000,3.58,6,4.97,,100.0,4.34,7.46,,74.0,208.0,BulgMa00,nflverse-combine-derived
Bill Burke,QB,Michigan State,2000,3.82,7,5.03,28.5,107.0,4.42,7.46,,76.0,206.0,,nflverse-combine-derived
Plaxico Burress,WR,Michigan State,2000,5.65,5,4.59,33.0,115.0,,,,77.0,231.0,BurrPl00,nflverse-combine-derived
Trung Canidate,RB,Arizona,2000,5.08,4,4.41,,,,,18.0,71.0,193.0,CaniTr00,nflverse-combine-derived
Giovanni Carmazzi,QB,Hofstra,2000,6.05,7,4.74,36.5,119.0,4.23,6.94,,75.0,224.0,,nflverse-combine-derived
Kwame Cavil,WR,Texas,2000,5.66,5,4.54,39.5,118.0,,,,74.0,208.0,CaviKw00,nflverse-combine-derived
Chris Chaloupka,QB,SMU,2000,3.81,3,4.96,,,,,,74.0,216.0,,nflverse-combine-derived
Doug Chapman,RB,Marshall,2000,6.12,8,4.56,38.5,128.0,4.2,6.84,16.0,70.0,215.0,ChapDo00,nflverse-combine-derived
Chrys Chukwuma,RB,Arkansas,2000,6.08,4,4.56,,115.0,,,,73.0,232.0,,nflverse-combine-derived
Chris Cole,WR,Texas A&M,2000,6.09,7,4.37,37.5,125.0,4.09,6.76,,72.0,191.0,ColeCh00,nflverse-combine-derived
Chris Coleman,WR,North Carolina State,2000,4.89,7,4.61,32.5,110.0,4.1,6.79,,72.0,211.0,ColeCh01,nflverse-combine-derived
Laveranues Coles,WR,Florida State,2000,4.74,7,4.41,34.0,115.0,4.39,6.89,,71.0,192.0,ColeLa00,nflverse-combine-derived
Casey Crawford,TE,Virginia,2000,4.64,4,4.83,,,,,18.0,78.0,244.0,CrawCa00,nflverse-combine-derived
Chris Daniels,WR,Purdue,2000,4.63,7,4.74,33.0,115.0,4.24,7.2,,75.0,217.0,,nflverse-combine-derived
Brandon Daniels,WR,Oklahoma,2000,5.01,3,4.54,,,,,,70.0,211.0,,nflverse-combine-derived
Joe Dean Davenport,TE,Arkansas,2000,3.96,8,5.06,30.0,108.0,4.67,7.33,13.0,79.0,268.0,,nflverse-combine-derived
Darren Davis,RB,Iowa State,2000,3.67,8,4.81,32.0,109.0,4.47,7.04,13.0,68.0,189.0,,nflverse-combine-derived
