year,school,school_canonical_slug,conference,conference_tier,wins,losses,srs,sos,srs_rank,sos_rank
2014,Florida State,florida-state,ACC,P5,13,1,14.48,5.13,13,19
2014,Clemson,clemson,ACC,P5,10,3,11.63,2.86,23,48
2014,Louisville,louisville,ACC,P5,9,4,10.52,3.22,26,43
2014,Boston College,boston-college,ACC,P5,7,6,6.04,2.35,42,50
2014,North Carolina State,north-carolina-state,ACC,P5,8,5,4.17,1.25,47,61
2014,Syracuse,syracuse,ACC,P5,3,9,-4.84,3.0,86,46
2014,Wake Forest,wake-forest,ACC,P5,3,9,-7.64,1.61,100,56
2014,Georgia Tech,georgia-tech,ACC,P5,11,3,15.92,4.78,8,23
2014,Duke,duke,ACC,P5,9,4,6.64,-0.82,40,70
2014,North Carolina,north-carolina,ACC,P5,6,7,0.14,4.29,68,29
2014,Pitt,pittsburgh,ACC,P5,6,7,2.74,0.97,51,62
2014,Virginia Tech,virginia-tech,ACC,P5,7,6,6.71,3.32,38,42
2014,Miami (FL),miami-fl,ACC,P5,6,7,8.04,4.65,35,25
2014,Virginia,virginia,ACC,P5,5,7,4.83,4.5,45,27
2014,Memphis,memphis,American Athletic,G5_top,10,3,7.22,-4.25,36,97
2014,Cincinnati,cincinnati,American Athletic,G5_top,9,4,2.42,-2.2,54,81
2014,UCF,central-florida,American Athletic,G5_top,9,4,1.98,-4.95,59,102
2014,East Carolina,east-carolina,American Athletic,G5_top,8,5,2.35,-4.96,55,103
2014,Houston,houston,American Athletic,G5_top,8,5,0.85,-6.22,66,114
2014,Temple,temple,American Athletic,G5_top,6,6,-2.23,-3.9,79,94
2014,South Florida,south-florida,American Athletic,G5_top,4,8,-10.9,-2.73,112,85
2014,Tulane,tulane,American Athletic,G5_top,3,9,-11.38,-0.8,114,69
2014,Tulsa,tulsa,American Athletic,G5_top,2,10,-15.23,-2.56,121,84
2014,Connecticut,connecticut,American Athletic,G5_top,2,10,-15.72,-3.64,122,92
2014,SMU,southern-methodist,American Athletic,G5_top,1,11,-18.17,0.41,124,64
2014,Texas Christian,texas-christian,Big 12,P5,12,1,18.96,1.57,4,58
2014,Baylor,baylor,Big 12,P5,11,2,14.97,0.59,11,63
2014,Kansas State,kansas-state,Big 12,P5,9,4,12.73,3.66,17,37
2014,Oklahoma,oklahoma,Big 12,P5,8,5,10.21,3.9,28,35
2014,West Virginia,west-virginia,Big 12,P5,7,6,8.07,4.45,34,28
2014,Texas,texas,Big 12,P5,6,7,3.98,5.29,48,16
2014,Oklahoma State,oklahoma-state,Big 12,P5,7,6,1.1,3.49,65,40
2014,Texas Tech,texas-tech,Big 12,P5,4,8,-3.56,4.11,83,31
2014,Kansas,kansas,Big 12,P5,3,9,-6.86,3.48,96,41
2014,Iowa State,iowa-state,Big 12,P5,2,10,-8.64,3.52,104,39
2014,Ohio State,ohio-state,Big Ten,P5,14,1,20.44,5.17,2,17
2014,Michigan State,michigan-state,Big Ten,P5,11,2,16.07,1.68,7,54
2014,Maryland,maryland,Big Ten,P5,7,6,1.58,3.12,62,44
2014,Rutgers,rutgers,Big Ten,P5,8,5,3.19,2.5,50,49
2014,Michigan,michigan,Big Ten,P5,5,7,1.82,3.65,61,38
2014,Penn State,penn-state,Big Ten,P5,7,6,2.46,1.54,53,59
2014,Indiana,indiana,Big Ten,P5,4,8,-5.32,1.43,87,60
2014,Wisconsin,wisconsin,Big Ten,P5,11,3,12.7,1.91,18,52
2014,Nebraska,nebraska,Big Ten,P5,9,4,10.26,1.72,27,53
2014,Minnesota,minnesota,Big Ten,P5,8,5,6.74,3.04,37,45
2014,Iowa,iowa,Big Ten,P5,7,6,1.37,-0.4,64,68
2014,Illinois,illinois,Big Ten,P5,6,7,-2.53,3.0,80,47
2014,Northwestern,northwestern,Big Ten,P5,5,7,0.8,1.63,67,55
2014,Purdue,purdue,Big Ten,P5,3,9,-6.33,2.01,91,51
2014,Marshall,marshall,Conference USA,G5,13,1,12.55,-5.81,19,109
2014,Western Kentucky,western-kentucky,Conference USA,G5,8,5,1.99,-3.01,58,88
2014,Middle Tennessee State,middle-tennessee-state,Conference USA,G5,6,6,-3.52,-1.77,82,76
2014,Old Dominion,old-dominion,Conference USA,G5,6,6,-6.1,-3.6,90,90
2014,UAB,alabama-birmingham,Conference USA,G5,6,6,-0.3,-2.05,70,78
2014,Florida International,florida-international,Conference USA,G5,4,8,-6.95,-4.04,97,95
2014,Florida Atlantic,florida-atlantic,Conference USA,G5,3,9,-9.68,-1.18,109,72
2014,Louisiana Tech,louisiana-tech,Conference USA,G5,9,5,5.46,-1.61,44,75
2014,Rice,rice,Conference USA,G5,8,5,-0.28,-2.98,69,87
2014,UTEP,texas-el-paso,Conference USA,G5,7,6,-3.18,-3.64,81,93
2014,UTSA,texas-san-antonio,Conference USA,G5,4,8,-8.62,-2.45,103,83
2014,North Texas,north-texas,Conference USA,G5,4,8,-11.91,-5.91,115,111
2014,Southern Mississippi,southern-mississippi,Conference USA,G5,3,9,-10.91,0.17,113,65
2014,BYU,brigham-young,FBS Independents,P5,8,5,4.38,-1.32,46,73
2014,Navy,navy,FBS Independents,P5,8,5,2.19,-1.5,57,74
2014,Notre Dame,notre-dame,FBS Independents,P5,8,5,8.56,5.33,31,14
2014,Army,army,FBS Independents,P5,4,8,-12.95,-5.78,117,108
2014,Bowling Green,bowling-green-state,Mid-American,G5,8,6,-6.66,-5.87,94,110
2014,Ohio,ohio,Mid-American,G5,6,6,-9.79,-6.95,110,117
2014,Buffalo,buffalo,Mid-American,G5,5,6,-9.34,-9.98,107,128
2014,Akron,akron,Mid-American,G5,5,7,-9.23,-7.73,106,122
2014,Massachusetts,massachusetts,Mid-American,G5,3,9,-12.61,-7.03,116,118
2014,Miami (OH),miami-oh,Mid-American,G5,2,10,-13.99,-5.24,119,105
2014,Kent State,kent-state,Mid-American,G5,2,9,-13.04,-4.58,118,100
2014,Northern Illinois,northern-illinois,Mid-American,G5,11,3,-1.06,-6.14,72,112
2014,Toledo,toledo,Mid-American,G5,9,4,-1.79,-6.48,76,115
2014,Western Michigan,western-michigan,Mid-American,G5,8,5,-1.79,-7.79,77,123
2014,Central Michigan,central-michigan,Mid-American,G5,7,6,-5.84,-7.61,89,120
2014,Ball State,ball-state,Mid-American,G5,5,7,-8.35,-8.68,102,125
2014,Eastern Michigan,eastern-michigan,Mid-American,G5,2,10,-19.82,-4.07,127,96
2014,Boise State,boise-state,Mountain West,G5_top,12,2,10.58,-0.07,25,67
2014,Colorado State,colorado-state,Mountain West,G5_top,10,3,5.47,-2.84,43,86
2014,Utah State,utah-state,Mountain West,G5_top,10,4,3.63,-3.59,49,89
2014,Air Force,air-force,Mountain West,G5_top,10,3,2.2,-4.88,56,101
2014,New Mexico,new-mexico,Mountain West,G5_top,4,8,-7.8,-2.14,101,79
2014,Wyoming,wyoming,Mountain West,G5_top,4,8,-6.69,0.14,95,66
2014,San Diego State,san-diego-state,Mountain West,G5_top,7,6,-2.1,-5.49,78,106
2014,Fresno State,fresno-state,Mountain West,G5_top,6,8,-5.52,-0.95,88,71
2014,Nevada,nevada,Mountain West,G5_top,7,6,-0.38,-2.14,71,80
2014,Hawaii,hawaii,Mountain West,G5_top,4,9,-9.08,-3.62,105,91
2014,San Jose State,san-jose-state,Mountain West,G5_top,3,9,-9.49,-1.99,108,77
2014,Nevada-Las Vegas,nevada-las-vegas,Mountain West,G5_top,2,11,-16.18,-2.26,123,82
2014,Oregon,oregon,Pac-12,P5,13,2,22.22,6.02,1,9
2014,Stanford,stanford,Pac-12,P5,8,5,12.42,4.65,20,26
2014,Washington,washington,Pac-12,P5,8,6,6.52,1.6,41,57
2014,California,california,Pac-12,P5,5,7,2.55,5.3,52,15
2014,Oregon State,oregon-state,Pac-12,P5,5,7,-1.42,4.0,73,34
2014,Washington State,washington-state,Pac-12,P5,3,9,-1.54,6.47,74,6
2014,Arizona,arizona,Pac-12,P5,10,4,11.9,6.12,22,8
2014,Arizona State,arizona-state,Pac-12,P5,10,3,13.26,4.11,16,32
2014,UCLA,ucla,Pac-12,P5,10,3,14.4,9.1,14,1
2014,USC,southern-california,Pac-12,P5,9,4,14.39,5.93,15,11
2014,Utah,utah,Pac-12,P5,9,4,9.84,5.14,30,18
2014,Colorado,colorado,Pac-12,P5,2,10,-3.63,6.45,84,7
2014,Missouri,missouri,SEC,P5,11,3,12.02,4.73,21,24
2014,Georgia,georgia,SEC,P5,10,3,18.84,5.07,5,20
2014,Florida,florida,SEC,P5,7,5,8.12,4.29,33,30
2014,South Carolina,south-carolina,SEC,P5,7,6,6.7,4.93,39,21
2014,Tennessee,tennessee,SEC,P5,7,6,8.13,5.52,32,13
2014,Kentucky,kentucky,SEC,P5,5,7,1.55,3.89,63,36
2014,Vanderbilt,vanderbilt,SEC,P5,3,9,-6.97,4.11,98,33
2014,Alabama,alabama,SEC,P5,12,2,20.34,7.27,3,5
2014,Mississippi State,mississippi-state,SEC,P5,10,3,15.04,4.81,9,22
2014,Ole Miss,mississippi,SEC,P5,9,4,16.8,8.11,6,3
2014,Auburn,auburn,SEC,P5,8,5,14.99,9.06,10,2
2014,LSU,louisiana-state,SEC,P5,8,5,10.75,5.98,24,10
2014,Texas A&M,texas-am,SEC,P5,8,5,9.96,5.72,29,12
2014,Arkansas,arkansas,SEC,P5,7,6,14.91,7.76,12,4
2014,Georgia Southern,georgia-southern,Sun Belt,G5_top,9,3,1.89,-8.19,60,124
2014,Appalachian State,appalachian-state,Sun Belt,G5_top,7,5,-6.56,-9.9,93,127
2014,Louisiana,louisiana-lafayette,Sun Belt,G5_top,9,4,-1.57,-5.57,75,107
2014,Texas State,texas-state,Sun Belt,G5_top,7,5,-6.43,-9.34,92,126
2014,Arkansas State,arkansas-state,Sun Belt,G5_top,7,6,-3.96,-6.88,85,116
2014,South Alabama,south-alabama,Sun Belt,G5_top,6,7,-7.63,-5.16,99,104
2014,Louisiana-Monroe,louisiana-monroe,Sun Belt,G5_top,4,8,-9.82,-4.57,111,99
2014,Troy,troy,Sun Belt,G5_top,3,9,-14.67,-6.17,120,113
2014,New Mexico State,new-mexico-state,Sun Belt,G5_top,2,10,-18.48,-7.65,125,121
2014,Idaho,idaho,Sun Belt,G5_top,1,10,-19.67,-7.21,126,119
2014,Georgia State,georgia-state,Sun Belt,G5_top,1,11,-20.41,-4.5,128,98
